         0	    0.0036
    0.0251	    0.0252
    0.0377	    0.0468
    0.0503	    0.0755
    0.0565	     0.101
    0.0628	     0.119
    0.0754	     0.151
    0.0817	     0.173
     0.088	     0.194
    0.0942	     0.219
     0.101	     0.241
     0.107	     0.263
     0.113	     0.281
     0.119	     0.309
     0.132	     0.342
     0.138	      0.36
     0.151	     0.392
     0.157	      0.41
     0.163	     0.428
     0.182	      0.46
     0.195	     0.486
     0.201	       0.5
     0.214	     0.529
      0.22	      0.54
     0.232	      0.55
     0.264	     0.576
     0.289	     0.583
     0.308	     0.576
     0.346	     0.554
     0.377	     0.522
      0.39	     0.507
     0.402	     0.489
     0.427	     0.453
     0.446	     0.421
     0.446	     0.428
     0.459	     0.385
     0.471	     0.378
     0.477	     0.367
     0.484	     0.356
     0.503	     0.324
     0.515	     0.306
     0.534	     0.281
     0.547	     0.248
     0.578	     0.216
     0.584	     0.183
     0.603	     0.155
     0.616	     0.137
     0.641	     0.101
     0.647	    0.0899
     0.672	     0.054
     0.697	    0.0216
     0.704	    0.0144
     0.729	   -0.0144
     0.754	   -0.0432
     0.785	   -0.0719
     0.817	    -0.104
     0.848	    -0.126
     0.873	    -0.144
     0.924	    -0.162
     0.955	    -0.173
     0.986	    -0.183
      1.02	    -0.194
      1.05	    -0.205
      1.09	    -0.219
      1.15	    -0.223
      1.21	    -0.219
      1.26	    -0.216
      1.31	    -0.209
      1.37	    -0.198
      1.42	    -0.187
      1.46	     -0.18
      1.51	    -0.158
      1.58	    -0.155
      1.63	    -0.137
      1.65	    -0.133
       1.7	    -0.126
      1.73	    -0.122
      1.78	    -0.112
      1.81	    -0.104
      1.85	   -0.0971
      1.86	   -0.0935
      1.92	   -0.0863
      1.94	   -0.0791
      1.99	   -0.0755
      2.04	   -0.0683
      2.09	   -0.0612
      2.15	    -0.054
      2.19	   -0.0468
      2.23	   -0.0432
      2.27	   -0.0396
      2.31	    -0.036
      2.34	   -0.0324
       2.4	   -0.0288
